name,color,region,link,party,marker,factor_1,factor_2
Søren Regenberg,#127b7f,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1007-soeren-regenberg,Nye Borgerlige,D,-5.1578531420500315,1.7637333235901047
Søren Schmidt-Andersen,#3fb2be,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/338-soeren-schmidt-andersen,Liberal Alliance,I,-2.5642698465055935,-3.0766508556745182
Søren Søndergaard,#e6801a,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/274-soeren-soendergaard,Enhedslisten – De Rød-Grønne,Ø,4.314991462724371,0.9563542143094055
Søren Vanting,#96b226,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/105-soeren-vanting,Det Konservative Folkeparti,C,-3.1678196016414955,-1.647878341790156
Tanja Larsson,#a82721,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/766-tanja-larsson,Socialdemokratiet,A,1.5907020233358453,1.824246348931787
Tenna Røberg,#127b7f,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/975-tenna-roeberg,Nye Borgerlige,D,-3.9412030183545186,2.602174921977844
Theis Kylling Hommeltoft,#a82721,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/743-theis-kylling-hommeltoft,Socialdemokratiet,A,1.0151565704732137,-0.9517102314514004
Theresa Berg,#e07ea8,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/434-theresa-berg,SF - Socialistisk Folkeparti,F,4.11860047818438,1.1339895076158382
Therese Skaarup,#7896d2,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/741-therese-skaarup,Danmarksdemokraterne ‒ Inger Støjberg,Æ,-2.678051115956284,2.708705686839574
Thomas Danielsen,#254264,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/565-thomas-danielsen,"Venstre, Danmarks Liberale Parti",V,-2.753957355092709,0.49721185733875584
Thomas Elong,#254264,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/530-thomas-elong,"Venstre, Danmarks Liberale Parti",V,-2.366876147626212,-1.2273010361421053
Thomas Garfort,#e07ea8,Bornholms Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/708-thomas-garfort,SF - Socialistisk Folkeparti,F,3.5009721420095468,0.4674420659478591
Thomas Holbech Anker,#2b8738,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/53-thomas-anker-kofoed,Alternativet,Å,4.1877874895470875,-0.5369681095740269
Thomas Jensen,#a82721,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/812-thomas-jensen,Socialdemokratiet,A,0.6642974960063444,1.9210893322181077
Thomas Monberg,#a82721,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/785-thomas-monberg-andersen,Socialdemokratiet,A,1.4463573256592568,1.4751442210722059
Thomas Rohden,#733280,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/267-thomas-rohden,Radikale Venstre,B,1.1235070931039843,-2.5779045649384593
Thomas Sciavitsky Bentsen,#127b7f,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/198-thomas-sciavitsky-bentsen,Nye Borgerlige,D,-4.170676896607485,0.1545728414728195
Thomas Skriver Jensen,#a82721,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/800-thomas-skriver-jensen,Socialdemokratiet,A,0.6906150072936751,0.9567381180106763
Thomas Vedsted,#127b7f,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/180-thomas-vedsted,Nye Borgerlige,D,-5.682531838556582,0.4134129546988324
Thor Clasen Jonasen,#2b8738,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1005-thor-clasen-jonasen,Alternativet,Å,3.1712361295819447,-1.4233387698185944
Thor Laage-Petersen Poulsen,#7896d2,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/733-thor-laage-petersen-poulsen,Danmarksdemokraterne ‒ Inger Støjberg,Æ,-2.963665331029559,2.6490077089493793
Thorbjørn Jacobsen,#3fb2be,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/320-thorbjoern-futtrup-jacobsen,Liberal Alliance,I,-3.236596283553668,-2.8488300731732537
Thorkil Olesen,#e07ea8,Nordjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/435-thorkil-olesen,SF - Socialistisk Folkeparti,F,4.780653904137612,1.407009478777261
Thorkild Holmboe-Hay,#a82721,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/774-thorkild-holmboe-hay,Socialdemokratiet,A,-0.1560992773726329,0.1617514708307946
Thue Lundgaard,#e6801a,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/859-thue-lundgaard,Enhedslisten – De Rød-Grønne,Ø,5.279400007494653,0.9667476676843656
Tilde Holch Duedahl,#254264,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/554-tilde-holch-duedahl,"Venstre, Danmarks Liberale Parti",V,-1.6367444524196233,0.5789721693910259
Tina Cartey Hansen,#96b226,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/65-tina-cartey-hansen,Det Konservative Folkeparti,C,-3.1563867089451496,-1.784052383139375
